Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950-1955,0.171934,0.281985,0.261344,0.240716,0.211489,0.140426,0.042106
1955-1960,0.175755,0.288252,0.267151,0.246065,0.216189,0.143546,0.043042
1960-1965,0.182123,0.298695,0.276831,0.254981,0.224022,0.148747,0.044601
1965-1970,0.188491,0.309139,0.286511,0.263896,0.231854,0.153948,0.046161
1970-1975,0.189128,0.310183,0.287479,0.264787,0.232638,0.154468,0.046317
1975-1980,0.187854,0.308095,0.285542,0.263005,0.231071,0.153428,0.046005
1980-1985,0.178302,0.292429,0.271024,0.249631,0.219322,0.145626,0.043666
1985-1990,0.170985,0.312374,0.295926,0.253194,0.190716,0.083303,0.028502
1990-1995,0.16266,0.297164,0.281518,0.240866,0.181431,0.079247,0.027114
1995-2000,0.143687,0.28227,0.274127,0.236416,0.178336,0.084587,0.030577
2000-2005,0.143276,0.268886,0.258093,0.235527,0.187441,0.088318,0.028459
2005-2010,0.122013,0.273338,0.267285,0.229028,0.17686,0.086837,0.024639
2010-2015,0.103332,0.267268,0.264979,0.210261,0.152382,0.071831,0.019947
2015-2020,0.077541,0.272403,0.278748,0.195242,0.129167,0.060727,0.014572
2020-2025,0.065473,0.264797,0.275359,0.182916,0.115909,0.05426,0.012126
2025-2030,0.055523,0.2564,0.271023,0.171781,0.104436,0.048593,0.010124
2030-2035,0.047271,0.247202,0.265654,0.161655,0.094465,0.043598,0.008475
2035-2040,0.04051,0.237871,0.259984,0.152791,0.085969,0.039283,0.007132
2040-2045,0.034955,0.228485,0.25407,0.145048,0.078732,0.035534,0.006036
2045-2050,0.03038,0.219251,0.248147,0.138416,0.072619,0.032313,0.005134
2050-2055,0.02659,0.209982,0.241979,0.132643,0.067393,0.029497,0.004396
2055-2060,0.023462,0.201081,0.236097,0.127883,0.063043,0.027086,0.003788
2060-2065,0.02084,0.192141,0.23,0.123771,0.059328,0.024962,0.003278
2065-2070,0.018678,0.183681,0.224305,0.120564,0.056299,0.023155,0.002858
2070-2075,0.016845,0.175129,0.218375,0.117831,0.053716,0.021541,0.002503
2075-2080,0.015329,0.16708,0.212908,0.115907,0.051694,0.020175,0.002207
2080-2085,0.014037,0.158973,0.207248,0.114369,0.050005,0.018951,0.001957
2085-2090,0.01295,0.151182,0.201867,0.113442,0.048734,0.017897,0.001748
2090-2095,0.012032,0.143488,0.196472,0.112926,0.047768,0.016967,0.001567
2095-2100,0.011258,0.135939,0.191131,0.112824,0.047101,0.016059,0.001408
